unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],8.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],15.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],16.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],12.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],11.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[45.0],45.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],11.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],4.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],4.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],1.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[42.0],42.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[45.0],45.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],15.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],15.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],5.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],8.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],7.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],0.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],3.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],2.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[26.0, 38.0]",38.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[34.5, 32.5]",34.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],14.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],11.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],5.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[46.0],46.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[27.5, 40.5]",40.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[26.0, 37.5]",37.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[33.5],33.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[25.5],25.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],20.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],13.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],15.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
[],18.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[92.0, 29.5]",92.0,[92.0],[92.0],0,1,0,[],[],0,"(-1, -1)",321
"[216.5, 28.5]",216.5,[216.5],[216.5],0,1,0,[],[],0,"(-1, -1)",321
"[350.5, 31.0]",350.5,[350.5],[350.5],0,1,0,[],[],0,"(-1, -1)",321
[413.0],413.0,[413.0],[413.0],0,1,0,[],[],0,"(-1, -1)",321
[561.5],561.5,[561.5],[561.5],0,1,0,[],[],0,"(-1, -1)",321
[757.0],757.0,[757.0],[757.0],0,1,0,[],[],0,"(-1, -1)",321
[1035.5],1035.5,[1035.5],[1035.5],0,1,0,[],[],0,"(-1, -1)",321
"[1331.5, 26.0]",1331.5,[1331.5],[1331.5],0,1,0,[],[],0,"(-1, -1)",321
"[1925.5, 41.5]",41.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[2559.5, 140.0]",140.0,[140.0],[140.0],0,1,0,[],[],0,"(-1, -1)",321
"[3252.5, 184.5]",184.5,[184.5],[184.5],0,1,0,[],[],0,"(-1, -1)",321
"[3610.0, 223.0]",223.0,[223.0],[223.0],0,1,0,[],[],0,"(-1, -1)",321
"[3927.0, 38.5, 264.0, 92.0, 26.5]",264.0,[264.0],[264.0],0,1,0,[],[],0,"(-1, -1)",321
"[4248.5, 36.5, 200.5, 26.0, 32.0, 175.0]",200.5,"[200.5, 175.0]","[200.5, 175.0]",2,2,0,[],[],1,"(-1, -1)",321
"[4545.0, 34.0, 260.5]",260.5,[260.5],[260.5],0,1,0,[],[],0,"(-1, -1)",321
"[4891.5, 34.5, 242.5]",242.5,[242.5],[242.5],0,1,0,[],[],0,"(-1, -1)",321
"[5134.0, 57.0, 237.5]",237.5,[237.5],[237.5],0,1,0,[],[],0,"(-1, -1)",321
"[5436.0, 59.0, 187.5, 31.0]",187.5,[187.5],[187.5],0,1,0,[],[],0,"(-1, -1)",321
"[5723.5, 27.5, 98.5, 43.0]",98.5,[98.5],[98.5],0,1,0,[],[],0,"(-1, -1)",321
"[6217.5, 33.5]",33.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[6761.5],24.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[6982.0, 26.5]",26.5,[],[],0,0,0,[],[],0,"(-1, -1)",321
[5443.5],24.0,[],[],0,0,0,[],[],0,"(-1, -1)",321
"[52.5, 5224.0, 65.5]",65.5,"[52.5, 65.5]","[65.5, 52.5]",2,2,0,[],[],1,"(-1, -1)",321
"[57.5, 5110.5, 64.0]",64.0,"[57.5, 64.0]","[64.0, 57.5]",2,2,0,[],[],1,"(-1, -1)",321
"[90.5, 4473.5, 56.0]",90.5,"[90.5, 56.0]","[56.0, 90.5]",2,2,0,[],[],1,"(-1, -1)",321
"[135.0, 117.5, 3396.5, 55.5]",135.0,"[135.0, 117.5]","[117.5, 135.0]",2,2,0,[],[],1,"(-1, -1)",321
"[105.0, 127.0, 29.5, 3086.5, 44.5, 119.5, 55.0, 35.0, 52.5]",127.0,"[105.0, 127.0, 119.5]","[127.0, 105.0, 119.5]",3,3,0,[],[],2,"(-1, -1)",321
"[105.0, 122.0, 2940.0, 52.5, 36.0, 168.5]",168.5,"[105.0, 122.0, 168.5]","[122.0, 105.0, 168.5]",3,3,0,[],[],2,"(-1, -1)",321
"[83.5, 209.5, 28.5, 2519.5, 29.5, 30.0, 48.0, 53.0, 168.5]",209.5,"[209.5, 168.5]","[209.5, 168.5]",2,2,0,[],[],1,"(-1, -1)",321
"[83.5, 348.5, 1857.5, 50.0, 84.5, 30.0, 29.5, 54.0]",348.5,[348.5],[348.5],0,1,0,[],[],0,"(-1, -1)",321
"[67.0, 121.0, 44.0, 1424.0, 102.0, 92.0, 28.0, 38.0, 187.5]",1424.0,[1424.0],[1424.0],0,1,0,[],[],0,"(-1, -1)",321
"[31.0, 1337.0, 99.5, 72.0, 185.5, 90.0]",1337.0,[1337.0],[1337.0],0,1,0,[],[],0,"(-1, -1)",321
"[1173.0, 111.5, 99.5, 101.0, 100.5, 112.5, 335.5]",1173.0,[1173.0],[1173.0],0,1,0,[],[],0,"(-1, -1)",321
"[217.5, 101.5, 66.0, 288.0, 476.5, 125.5, 559.5, 419.5]",559.5,"[476.5, 559.5, 419.5]","[476.5, 559.5, 419.5]",3,3,1,[483],[212],0,"(483, 212)",163
"[244.5, 99.0, 66.0, 281.0, 25.5, 474.5, 565.5, 467.0, 28.0]",565.5,"[474.5, 565.5, 467.0]","[474.5, 565.5, 467.0]",3,3,1,[470],[212],0,"(470, 212)",150
"[368.5, 81.0, 33.0, 250.5, 104.5, 459.0, 569.5, 469.5]",569.5,"[368.5, 459.0, 569.5, 469.5]","[459.0, 569.5, 368.5, 469.5]",4,4,1,[458],[212],0,"(458, 212)",138
"[345.5, 81.0, 32.0, 148.5, 96.5, 480.0, 539.5, 449.0, 34.0, 223.0]",539.5,"[345.5, 480.0, 539.5, 449.0]","[480.0, 539.5, 345.5, 449.0]",4,4,1,[446],[212],0,"(446, 212)",126
"[360.5, 81.0, 76.0, 102.0, 447.0, 27.5, 473.0, 529.0, 273.0]",529.0,"[360.5, 447.0, 473.0, 529.0]","[473.0, 529.0, 360.5, 447.0]",4,4,1,[432],[212],0,"(432, 212)",112
"[35.0, 327.5, 54.0, 59.5, 106.5, 470.5, 386.0, 27.5, 504.5, 32.0, 260.0]",504.5,"[327.5, 470.5, 386.0, 504.5]","[470.5, 504.5, 327.5, 386.0]",4,4,1,[419],[213],0,"(419, 213)",99
"[86.0, 235.5, 28.0, 49.5, 38.0, 206.5, 70.5, 499.0, 474.5, 40.5, 244.0]",499.0,"[499.0, 474.5]","[474.5, 499.0]",2,2,1,[406],[214],0,"(406, 214)",86
"[236.0, 310.0, 49.5, 28.0, 149.0, 67.0, 483.5, 515.5, 219.0]",515.5,"[310.0, 483.5, 515.5]","[483.5, 515.5, 310.0]",3,3,1,[391],[214],0,"(391, 214)",71
"[81.5, 179.5, 598.5, 155.5, 38.5, 69.0, 494.5, 572.5, 87.0, 185.0]",598.5,"[598.5, 494.5, 572.5]","[494.5, 572.5, 598.5]",3,3,1,[377],[215],0,"(377, 215)",57
"[139.0, 114.5, 68.0, 786.5, 68.0, 497.5, 555.5, 667.0, 388.5, 152.5]",786.5,"[786.5, 497.5, 555.5, 667.0]","[497.5, 667.0, 555.5, 786.5]",4,4,1,[362],[215],0,"(362, 215)",42
"[143.5, 49.5, 1040.5, 80.5, 506.5, 673.0, 652.0, 399.0, 25.5, 119.5]",1040.5,"[1040.5, 673.0, 652.0]","[673.0, 652.0, 1040.5]",3,3,0,[],[],2,"(-1, -1)",321
"[143.5, 1092.5, 83.0, 83.0, 502.0, 679.0, 683.5, 507.5, 88.5]",1092.5,"[1092.5, 679.0, 683.5]","[679.0, 683.5, 1092.5]",3,3,0,[],[],2,"(-1, -1)",321
"[105.0, 960.0, 71.5, 696.0, 502.0, 767.5, 72.0, 654.5]",960.0,"[960.0, 696.0, 767.5, 654.5]","[696.0, 767.5, 654.5, 960.0]",4,4,1,[502],[211],0,"(502, 211)",182
"[225.0, 81.5, 991.5, 49.0, 696.0, 507.5, 597.5, 772.5, 248.0, 38.5]",991.5,"[991.5, 696.0, 597.5, 772.5]","[696.0, 772.5, 597.5, 991.5]",4,4,1,[490],[212],0,"(490, 212)",170
"[210.0, 49.0, 68.5, 802.5, 83.0, 509.0, 714.0, 473.0, 802.0, 598.5]",802.5,"[802.5, 509.0, 714.0, 802.0, 598.5]","[509.0, 714.0, 802.0, 598.5, 802.5]",5,5,2,"[293, 476]","[216, 212]",1,"(293, 216)",27
"[105.0, 105.0, 49.0, 35.0, 416.5, 177.5, 489.5, 713.5, 397.0, 822.5, 674.5]",822.5,"[713.5, 822.5, 674.5]","[713.5, 822.5, 674.5]",3,3,1,[465],[213],0,"(465, 213)",145
"[621.5, 35.0, 344.0, 36.0, 30.5, 156.5, 496.5, 706.5, 542.0, 42.0, 828.0, 723.5]",828.0,"[621.5, 706.5, 542.0, 828.0, 723.5]","[706.5, 828.0, 723.5, 621.5, 542.0]",5,5,1,[454],[215],0,"(454, 215)",134
"[45.0, 35.0, 423.5, 237.0, 36.0, 274.5, 75.0, 483.5, 660.5, 753.0, 289.0, 520.0]",753.0,"[483.5, 660.5, 753.0, 520.0]","[483.5, 660.5, 753.0, 520.0]",4,4,2,"[259, 443]","[221, 216]",1,"(259, 221)",61
"[45.0, 27.0, 35.0, 413.0, 58.5, 214.0, 45.0, 271.5, 478.0, 30.0, 39.0, 616.5, 27.5, 35.0, 156.0]",616.5,"[413.0, 478.0, 616.5]","[478.0, 616.5, 413.0]",3,3,1,[245],[223],0,"(245, 223)",75
"[29.5, 35.0, 27.0, 179.5, 52.0, 48.5, 99.0, 41.5, 27.5, 432.5, 541.0, 97.5]",541.0,"[432.5, 541.0]","[432.5, 541.0]",2,2,1,[230],[224],0,"(230, 224)",90
"[35.0, 26.0, 93.0, 225.0, 105.0, 42.5, 364.5, 406.0, 64.0]",406.0,"[364.5, 406.0]","[364.5, 406.0]",2,2,1,[213],[225],0,"(213, 225)",107
"[42.0, 98.0, 368.0, 47.5, 70.5, 44.0, 316.5, 366.5, 25.5]",368.0,"[368.0, 316.5, 366.5]","[316.5, 366.5, 368.0]",3,3,1,[195],[226],0,"(195, 226)",125
"[42.0, 99.5, 361.5, 214.0, 77.5, 46.5, 282.0, 33.0]",361.5,"[361.5, 282.0]","[282.0, 361.5]",2,2,0,[],[],1,"(-1, -1)",321
"[94.5, 224.5, 107.5, 46.5, 84.5, 201.5]",224.5,"[224.5, 201.5]","[201.5, 224.5]",2,2,0,[],[],1,"(-1, -1)",321
"[225.0, 965.0, 119.0, 419.0]",965.0,[965.0],[965.0],0,1,0,[],[],0,"(-1, -1)",321
"[371.5, 859.0, 95.5, 352.0]",859.0,[859.0],[859.0],0,1,0,[],[],0,"(-1, -1)",321
"[384.5, 696.5, 81.5, 271.0]",696.5,[696.5],[696.5],0,1,0,[],[],0,"(-1, -1)",321
"[417.5, 648.5, 81.5, 141.5]",648.5,"[417.5, 648.5]","[648.5, 417.5]",2,2,0,[],[],1,"(-1, -1)",321
"[420.5, 572.0, 81.0, 95.5]",572.0,"[420.5, 572.0]","[572.0, 420.5]",2,2,0,[],[],1,"(-1, -1)",321
"[420.5, 567.5, 81.0, 95.5]",567.5,"[420.5, 567.5]","[567.5, 420.5]",2,2,0,[],[],1,"(-1, -1)",321
"[489.0, 420.5, 98.5, 44.0]",489.0,"[489.0, 420.5]","[420.5, 489.0]",2,2,0,[],[],1,"(-1, -1)",321
"[417.5, 403.0, 98.5]",417.5,"[417.5, 403.0]","[403.0, 417.5]",2,2,0,[],[],1,"(-1, -1)",321
"[417.5, 310.5, 45.0, 88.5, 156.5]",417.5,"[417.5, 310.5]","[310.5, 417.5]",2,2,0,[],[],1,"(-1, -1)",321
"[417.5, 307.5, 45.0, 88.5, 28.0, 183.5]",417.5,"[417.5, 307.5]","[307.5, 417.5]",2,2,0,[],[],1,"(-1, -1)",321
"[373.5, 302.0, 41.5, 88.0, 29.5, 180.5]",373.5,"[373.5, 302.0]","[302.0, 373.5]",2,2,0,[],[],1,"(-1, -1)",321
"[350.0, 316.5, 30.0, 79.0, 33.5]",350.0,"[350.0, 316.5]","[316.5, 350.0]",2,2,0,[],[],1,"(-1, -1)",321
"[4812.5, 38.0, 246.0]",246.0,[246.0],[246.0],0,1,0,[],[],0,"(-1, -1)",321
"[4809.0, 38.0, 252.5]",252.5,[252.5],[252.5],0,1,0,[],[],0,"(-1, -1)",321
"[4794.5, 39.5, 224.5]",224.5,[224.5],[224.5],0,1,0,[],[],0,"(-1, -1)",321
"[4826.0, 39.5, 252.5]",252.5,[252.5],[252.5],0,1,0,[],[],0,"(-1, -1)",321
"[4826.0, 39.5, 252.5]",252.5,[252.5],[252.5],0,1,0,[],[],0,"(-1, -1)",321
"[4829.0, 38.5, 266.0]",266.0,[266.0],[266.0],0,1,0,[],[],0,"(-1, -1)",321
"[4839.5, 38.5, 266.0]",266.0,[266.0],[266.0],0,1,0,[],[],0,"(-1, -1)",321
"[5072.0, 38.5, 266.0, 286.5, 55.5]",286.5,"[266.0, 286.5]","[286.5, 266.0]",2,2,0,[],[],1,"(-1, -1)",321
"[4908.0, 55.5, 241.5, 40.0, 112.0, 647.5]",647.5,[647.5],[647.5],0,1,0,[],[],0,"(-1, -1)",321
"[5039.0, 55.5, 261.5, 203.0, 468.5, 755.5]",755.5,"[468.5, 755.5]","[468.5, 755.5]",2,2,1,[420],[214],0,"(420, 214)",100
"[4661.0, 213.0, 777.0, 770.0]",777.0,"[777.0, 770.0]","[777.0, 770.0]",2,2,1,[421],[215],0,"(421, 215)",101
"[4978.5, 286.0, 328.5, 427.0, 883.0, 768.0]",883.0,"[883.0, 768.0]","[883.0, 768.0]",2,2,1,[422],[216],0,"(422, 216)",102
"[7076.0, 83.0, 255.0, 893.5, 944.0, 758.5]",944.0,"[893.5, 944.0, 758.5]","[893.5, 944.0, 758.5]",3,3,1,[424],[218],0,"(424, 218)",104
"[6887.5, 74.5, 34.0, 260.0, 69.0, 889.0, 948.5, 768.0]",948.5,"[889.0, 948.5, 768.0]","[889.0, 948.5, 768.0]",3,3,1,[426],[219],0,"(426, 219)",106
"[6760.5, 277.0, 382.0, 32.0, 896.0, 945.5, 760.0]",945.5,"[896.0, 945.5, 760.0]","[896.0, 945.5, 760.0]",3,3,1,[427],[221],0,"(427, 221)",107
"[6312.5, 277.0, 538.0, 887.5, 949.5, 749.5]",949.5,"[887.5, 949.5, 749.5]","[887.5, 949.5, 749.5]",3,3,1,[428],[222],0,"(428, 222)",108
"[6294.0, 273.5, 532.0, 894.0, 949.5, 755.0]",949.5,"[894.0, 949.5, 755.0]","[894.0, 949.5, 755.0]",3,3,1,[429],[222],0,"(429, 222)",109
"[3473.0, 251.5, 242.0, 558.5, 771.0, 918.5, 948.5, 753.5]",948.5,"[771.0, 918.5, 948.5, 753.5]","[771.0, 918.5, 948.5, 753.5]",4,4,2,"[230, 430]","[232, 223]",1,"(230, 232)",90
"[6227.5, 257.5, 202.5, 552.5, 776.5, 918.0, 935.0, 737.5]",935.0,"[776.5, 918.0, 935.0, 737.5]","[776.5, 918.0, 935.0, 737.5]",4,4,2,"[234, 434]","[233, 223]",1,"(234, 233)",86
"[6227.0, 257.5, 203.0, 553.5, 775.0, 918.5, 937.5, 739.5]",937.5,"[775.0, 918.5, 937.5, 739.5]","[775.0, 918.5, 937.5, 739.5]",4,4,2,"[234, 434]","[233, 223]",1,"(234, 233)",86
"[6273.5, 257.5, 217.0, 580.5, 797.5, 945.0, 946.0, 741.0]",946.0,"[580.5, 797.5, 945.0, 946.0, 741.0]","[580.5, 797.5, 945.0, 946.0, 741.0]",5,5,2,"[233, 433]","[232, 222]",1,"(233, 232)",87
"[6160.5, 253.5, 235.5, 587.5, 802.0, 957.0, 941.5, 750.5]",957.0,"[587.5, 802.0, 957.0, 941.5, 750.5]","[587.5, 802.0, 957.0, 941.5, 750.5]",5,5,2,"[231, 432]","[230, 220]",1,"(231, 230)",89
"[6160.5, 241.5, 268.0, 601.0, 810.5, 954.5, 940.5, 747.5]",954.5,"[601.0, 810.5, 954.5, 940.5, 747.5]","[601.0, 810.5, 954.5, 940.5, 747.5]",5,5,2,"[230, 431]","[229, 219]",1,"(230, 229)",90
"[5294.5, 243.5, 282.0, 614.0, 813.0, 945.5, 953.0, 752.0]",953.0,"[614.0, 813.0, 945.5, 953.0, 752.0]","[614.0, 813.0, 945.5, 953.0, 752.0]",5,5,2,"[226, 427]","[227, 217]",1,"(226, 227)",94
"[4341.5, 42.5, 273.0, 321.0, 620.5, 798.0, 952.0, 742.0, 954.0]",954.0,"[620.5, 798.0, 952.0, 742.0, 954.0]","[620.5, 798.0, 952.0, 954.0, 742.0]",5,5,2,"[227, 428]","[226, 217]",1,"(227, 226)",93
"[4223.5, 42.5, 272.0, 45.0, 295.5, 629.0, 797.5, 950.0, 957.0, 754.0]",957.0,"[629.0, 797.5, 950.0, 957.0, 754.0]","[629.0, 797.5, 950.0, 957.0, 754.0]",5,5,2,"[227, 429]","[225, 216]",1,"(227, 225)",93
"[3891.5, 42.5, 269.0, 45.0, 307.5, 631.0, 809.5, 973.5, 974.0, 760.0]",974.0,"[631.0, 809.5, 973.5, 974.0, 760.0]","[631.0, 809.5, 973.5, 974.0, 760.0]",5,5,2,"[229, 432]","[225, 216]",1,"(229, 225)",91
"[3390.5, 31.0, 265.5, 45.0, 312.5, 636.5, 813.0, 976.5, 986.5, 767.0]",986.5,"[636.5, 813.0, 976.5, 986.5, 767.0]","[636.5, 813.0, 976.5, 986.5, 767.0]",5,5,2,"[232, 435]","[225, 216]",1,"(232, 225)",88
"[3304.0, 265.5, 59.5, 329.5, 631.5, 803.0, 987.0, 986.0, 776.0]",987.0,"[631.5, 803.0, 987.0, 986.0, 776.0]","[631.5, 803.0, 987.0, 986.0, 776.0]",5,5,2,"[232, 435]","[225, 215]",1,"(232, 225)",88
"[2953.5, 238.0, 59.5, 317.5, 622.5, 820.5, 986.5, 996.5, 777.0]",996.5,"[622.5, 820.5, 986.5, 996.5, 777.0]","[622.5, 820.5, 986.5, 996.5, 777.0]",5,5,2,"[232, 436]","[224, 215]",1,"(232, 224)",88
"[2292.0, 59.5, 321.0, 645.5, 818.5, 980.5, 985.0, 781.5]",985.0,"[645.5, 818.5, 980.5, 985.0, 781.5]","[645.5, 818.5, 980.5, 985.0, 781.5]",5,5,2,"[234, 437]","[223, 214]",1,"(234, 223)",86
"[2994.0, 59.5, 308.0, 632.5, 829.0, 983.0, 980.5, 782.5]",983.0,"[632.5, 829.0, 983.0, 980.5, 782.5]","[632.5, 829.0, 983.0, 980.5, 782.5]",5,5,2,"[235, 439]","[223, 213]",1,"(235, 223)",85
"[105.0, 3552.0, 52.5, 273.0, 635.5, 832.0, 973.0, 966.0, 764.5]",973.0,"[635.5, 832.0, 973.0, 966.0, 764.5]","[635.5, 832.0, 973.0, 966.0, 764.5]",5,5,2,"[236, 440]","[223, 213]",1,"(236, 223)",84
"[75.0, 3152.5, 28.5, 52.5, 282.5, 623.5, 824.0, 969.0, 970.5, 769.5]",970.5,"[623.5, 824.0, 969.0, 970.5, 769.5]","[623.5, 824.0, 969.0, 970.5, 769.5]",5,5,2,"[235, 439]","[223, 213]",1,"(235, 223)",85
"[2632.0, 52.5, 293.0, 629.0, 824.5, 977.5, 973.5, 768.0]",977.5,"[629.0, 824.5, 977.5, 973.5, 768.0]","[629.0, 824.5, 977.5, 973.5, 768.0]",5,5,2,"[235, 439]","[223, 214]",1,"(235, 223)",85
"[2609.5, 52.5, 292.5, 637.0, 831.0, 985.5, 974.0, 776.0]",985.5,"[637.0, 831.0, 985.5, 974.0, 776.0]","[637.0, 831.0, 985.5, 974.0, 776.0]",5,5,2,"[237, 440]","[224, 214]",1,"(237, 224)",83
"[27.0, 2248.5, 255.5, 82.5, 247.0, 611.5, 781.5, 949.5, 944.0, 754.5]",949.5,"[611.5, 781.5, 949.5, 944.0, 754.5]","[611.5, 781.5, 949.5, 944.0, 754.5]",5,5,2,"[236, 439]","[224, 215]",1,"(236, 224)",84
"[2726.0, 444.0, 70.0, 177.5, 87.5, 247.5, 614.5, 784.0, 944.0, 948.5, 762.5]",948.5,"[614.5, 784.0, 944.0, 948.5, 762.5]","[614.5, 784.0, 944.0, 948.5, 762.5]",5,5,2,"[236, 439]","[224, 215]",1,"(236, 224)",84
"[2788.0, 512.0, 70.0, 177.5, 81.5, 253.5, 608.0, 787.5, 943.5, 950.0, 758.5]",950.0,"[608.0, 787.5, 943.5, 950.0, 758.5]","[608.0, 787.5, 943.5, 950.0, 758.5]",5,5,2,"[236, 439]","[225, 215]",1,"(236, 225)",84
"[2834.0, 536.0, 70.0, 177.5, 81.5, 227.5, 28.0, 598.5, 803.0, 948.5, 963.5, 759.0]",963.5,"[598.5, 803.0, 948.5, 963.5, 759.0]","[598.5, 803.0, 948.5, 963.5, 759.0]",5,5,2,"[236, 440]","[225, 216]",1,"(236, 225)",84
"[2835.5, 536.5, 70.0, 172.5, 81.5, 226.0, 31.5, 602.0, 795.0, 945.5, 958.0, 757.5]",958.0,"[602.0, 795.0, 945.5, 958.0, 757.5]","[602.0, 795.0, 945.5, 958.0, 757.5]",5,5,2,"[236, 439]","[225, 216]",1,"(236, 225)",84
"[2367.5, 34.5, 70.0, 205.5, 81.5, 186.5, 608.5, 790.0, 942.5, 964.5, 753.0]",964.5,"[608.5, 790.0, 942.5, 964.5, 753.0]","[608.5, 790.0, 942.5, 964.5, 753.0]",5,5,2,"[236, 439]","[225, 216]",1,"(236, 225)",84
"[409.0, 2381.5, 70.0, 205.5, 81.5, 192.5, 597.0, 806.5, 955.5, 944.0, 754.0]",955.5,"[597.0, 806.5, 955.5, 944.0, 754.0]","[597.0, 806.5, 955.5, 944.0, 754.0]",5,5,2,"[236, 439]","[225, 215]",1,"(236, 225)",84
"[31.0, 777.0, 2397.0, 70.0, 200.5, 81.5, 157.0, 593.0, 801.5, 960.0, 939.0, 754.0]",960.0,"[777.0, 593.0, 801.5, 960.0, 939.0, 754.0]","[593.0, 801.5, 960.0, 939.0, 777.0, 754.0]",6,6,1,[235],[224],0,"(235, 224)",85
"[31.0, 89.5, 1063.5, 2218.0, 70.0, 200.5, 81.5, 123.5, 596.5, 801.5, 964.5, 932.0, 755.5]",1063.5,"[1063.5, 801.5, 964.5, 932.0, 755.5]","[801.5, 964.5, 932.0, 1063.5, 755.5]",5,5,1,[236],[224],0,"(236, 224)",84
"[31.0, 69.5, 1540.5, 2230.5, 61.0, 210.0, 81.5, 145.5, 605.5, 803.0, 970.5, 926.0, 749.5]",1540.5,"[1540.5, 970.5, 926.0]","[970.5, 926.0, 1540.5]",3,3,0,[],[],2,"(-1, -1)",321
"[31.0, 69.5, 2065.0, 2230.0, 61.0, 210.0, 81.5, 151.0, 591.0, 796.0, 979.0, 919.0, 755.5]",979.0,"[591.0, 796.0, 979.0, 919.0, 755.5]","[591.0, 796.0, 979.0, 919.0, 755.5]",5,5,2,"[235, 439]","[223, 214]",1,"(235, 223)",85
"[31.0, 69.5, 2279.5, 2230.0, 61.0, 210.0, 81.5, 151.0, 589.0, 793.0, 979.5, 916.0, 746.0]",979.5,"[589.0, 793.0, 979.5, 916.0, 746.0]","[589.0, 793.0, 979.5, 916.0, 746.0]",5,5,2,"[235, 439]","[223, 214]",1,"(235, 223)",85
"[5787.5, 98.5, 146.0, 93.0, 744.5, 120.5, 595.0, 820.5, 993.0, 964.0, 752.5]",993.0,"[744.5, 820.5, 993.0, 964.0, 752.5]","[820.5, 993.0, 744.5, 964.0, 752.5]",5,5,2,"[235, 439]","[223, 214]",1,"(235, 223)",85
"[5843.5, 98.5, 146.0, 93.0, 1715.0, 714.5, 589.5, 817.0, 991.5, 964.5, 745.5]",1715.0,[1715.0],[1715.0],0,1,0,[],[],0,"(-1, -1)",321
"[5843.5, 98.5, 146.0, 93.0, 1507.0, 699.0, 434.5, 812.0, 980.5, 959.0, 754.0]",1507.0,"[1507.0, 980.5, 959.0]","[1507.0, 980.5, 959.0]",3,3,0,[],[],2,"(-1, -1)",321
