unfiltered_contours, biggest_contour, filtered_contours, sorted_contours, num_rects, num_contours, num_targets, cx_list, cy_list, index, coords, difference
"[389.5, 402.5]",402.5,"[389.5, 402.5]","[389.5, 402.5]",2,2,1,[271],[229],0,"(271, 229)",49
"[393.5, 376.5]",393.5,"[393.5, 376.5]","[393.5, 376.5]",2,2,1,[272],[228],0,"(272, 228)",48
"[375.0, 378.5]",378.5,"[375.0, 378.5]","[375.0, 378.5]",2,2,1,[273],[228],0,"(273, 228)",47
"[356.5, 341.5]",356.5,"[356.5, 341.5]","[356.5, 341.5]",2,2,1,[272],[228],0,"(272, 228)",48
"[272.0, 285.0]",285.0,"[272.0, 285.0]","[272.0, 285.0]",2,2,1,[271],[229],0,"(271, 229)",49
"[145.0, 135.5]",145.0,"[145.0, 135.5]","[135.5, 145.0]",2,2,1,[271],[229],0,"(271, 229)",49
"[66.5, 66.0, 28.5]",66.5,"[66.5, 66.0]","[66.5, 66.0]",2,2,0,[],[],1,"(-1, -1)",321
"[50.0, 98.5]",98.5,[98.5],[98.5],0,1,0,[],[],0,"(-1, -1)",321
"[219.5, 269.0]",269.0,"[219.5, 269.0]","[219.5, 269.0]",2,2,1,[269],[228],0,"(269, 228)",51
"[308.5, 311.0]",311.0,"[308.5, 311.0]","[308.5, 311.0]",2,2,1,[269],[228],0,"(269, 228)",51
"[327.0, 338.0]",338.0,"[327.0, 338.0]","[327.0, 338.0]",2,2,1,[269],[228],0,"(269, 228)",51
"[332.5, 332.5]",332.5,"[332.5, 332.5]","[332.5, 332.5]",2,2,1,[272],[229],0,"(272, 229)",48
"[319.5, 316.0]",319.5,"[319.5, 316.0]","[319.5, 316.0]",2,2,1,[275],[230],0,"(275, 230)",45
"[232.5, 254.5]",254.5,"[232.5, 254.5]","[232.5, 254.5]",2,2,1,[279],[230],0,"(279, 230)",41
"[249.0, 217.0]",249.0,"[249.0, 217.0]","[249.0, 217.0]",2,2,1,[282],[230],0,"(282, 230)",38
"[229.0, 217.0]",229.0,"[229.0, 217.0]","[229.0, 217.0]",2,2,1,[285],[231],0,"(285, 231)",35
"[228.0, 271.0]",271.0,"[228.0, 271.0]","[228.0, 271.0]",2,2,1,[288],[232],0,"(288, 232)",32
"[288.5, 298.5]",298.5,"[288.5, 298.5]","[288.5, 298.5]",2,2,1,[293],[232],0,"(293, 232)",27
"[295.5, 287.5]",295.5,"[295.5, 287.5]","[295.5, 287.5]",2,2,1,[298],[232],0,"(298, 232)",22
"[297.0, 278.0]",297.0,"[297.0, 278.0]","[297.0, 278.0]",2,2,1,[303],[231],0,"(303, 231)",17
"[279.5, 261.5]",279.5,"[279.5, 261.5]","[279.5, 261.5]",2,2,1,[308],[230],0,"(308, 230)",12
"[273.0, 247.0]",273.0,"[273.0, 247.0]","[273.0, 247.0]",2,2,1,[314],[229],0,"(314, 229)",6
"[286.0, 244.5]",286.0,"[286.0, 244.5]","[286.0, 244.5]",2,2,1,[318],[229],0,"(318, 229)",2
"[291.0, 238.5]",291.0,"[291.0, 238.5]","[291.0, 238.5]",2,2,1,[323],[228],0,"(323, 228)",3
"[276.5, 250.5]",276.5,"[276.5, 250.5]","[276.5, 250.5]",2,2,1,[328],[228],0,"(328, 228)",8
"[294.0, 274.0]",294.0,"[294.0, 274.0]","[294.0, 274.0]",2,2,1,[331],[227],0,"(331, 227)",11
"[284.0, 279.5]",284.0,"[284.0, 279.5]","[284.0, 279.5]",2,2,1,[335],[227],0,"(335, 227)",15
"[284.0, 278.5]",284.0,"[284.0, 278.5]","[284.0, 278.5]",2,2,1,[339],[225],0,"(339, 225)",19
"[283.5, 283.0]",283.5,"[283.5, 283.0]","[283.5, 283.0]",2,2,1,[343],[224],0,"(343, 224)",23
"[283.5, 273.5]",283.5,"[283.5, 273.5]","[283.5, 273.5]",2,2,1,[349],[223],0,"(349, 223)",29
"[273.5, 255.5]",273.5,"[273.5, 255.5]","[273.5, 255.5]",2,2,1,[355],[221],0,"(355, 221)",35
"[271.0, 258.0]",271.0,"[271.0, 258.0]","[271.0, 258.0]",2,2,1,[360],[221],0,"(360, 221)",40
"[271.0, 254.0]",271.0,"[271.0, 254.0]","[271.0, 254.0]",2,2,1,[364],[220],0,"(364, 220)",44
"[273.0, 260.5]",273.0,"[273.0, 260.5]","[273.0, 260.5]",2,2,1,[367],[220],0,"(367, 220)",47
"[270.5, 253.5]",270.5,"[270.5, 253.5]","[270.5, 253.5]",2,2,1,[371],[219],0,"(371, 219)",51
"[267.5, 246.0]",267.5,"[267.5, 246.0]","[267.5, 246.0]",2,2,1,[377],[219],0,"(377, 219)",57
"[263.0, 244.0]",263.0,"[263.0, 244.0]","[263.0, 244.0]",2,2,1,[382],[217],0,"(382, 217)",62
"[264.5, 246.5]",264.5,"[264.5, 246.5]","[264.5, 246.5]",2,2,1,[388],[215],0,"(388, 215)",68
"[263.5, 251.5]",263.5,"[263.5, 251.5]","[263.5, 251.5]",2,2,1,[395],[214],0,"(395, 214)",75
"[263.5, 251.5]",263.5,"[263.5, 251.5]","[263.5, 251.5]",2,2,1,[395],[214],0,"(395, 214)",75
"[258.5, 228.5]",258.5,"[258.5, 228.5]","[258.5, 228.5]",2,2,1,[401],[214],0,"(401, 214)",81
"[223.5, 226.5]",226.5,"[223.5, 226.5]","[223.5, 226.5]",2,2,1,[407],[214],0,"(407, 214)",87
"[236.5, 206.5]",236.5,"[236.5, 206.5]","[236.5, 206.5]",2,2,1,[411],[213],0,"(411, 213)",91
"[250.0, 220.5]",250.0,"[250.0, 220.5]","[250.0, 220.5]",2,2,1,[415],[214],0,"(415, 214)",95
"[245.5, 227.5]",245.5,"[245.5, 227.5]","[245.5, 227.5]",2,2,1,[422],[215],0,"(422, 215)",102
